name,state,revenue,federal_revenue,state_revenue,local_revenue,expenses
OZARK CITY,Alabama,23175,2683,14574,5918,22237
PELL CITY,Alabama,37639,3729,23112,10798,36449
PERRY COUNTY,Alabama,17601,3905,10771,2925,17523
PHENIX CITY,Alabama,64724,8619,39473,16632,66896
PICKENS COUNTY,Alabama,25807,3684,17352,4771,25860
PIEDMONT CITY,Alabama,11294,1326,7131,2837,11019
PIKE COUNTY,Alabama,23518,3507,13733,6278,25483
RANDOLPH COUNTY,Alabama,20953,2224,13084,5645,21380
ROANOKE CITY,Alabama,13300,1535,8532,3233,13704
RUSSELL COUNTY,Alabama,32369,4038,20586,7745,30727
RUSSELLVILLE CITY,Alabama,25177,3281,14715,7181,24056
SCOTTSBORO CITY,Alabama,26872,2271,14905,9696,26265
SELMA CITY,Alabama,35759,7034,21845,6880,35361
SHEFFIELD CITY,Alabama,13309,2051,6628,4630,13110
SHELBY COUNTY,Alabama,234796,13518,118108,103170,245065
ST CLAIR COUNTY,Alabama,75832,6566,49660,19606,79490
SUMTER COUNTY,Alabama,20979,3835,11578,5566,20448
SYLACAUGA CITY,Alabama,23931,2232,13673,8026,25715
TALLADEGA CITY,Alabama,22535,2861,14196,5478,21270
TALLADEGA COUNTY,Alabama,74297,8421,41350,24526,73134
TALLAPOOSA COUNTY,Alabama,27079,3070,14723,9286,29449
TALLASSEE CITY,Alabama,16625,1612,10235,4778,16340
TARRANT CITY,Alabama,12015,2040,6395,3580,11931
THOMASVILLE CITY,Alabama,14208,1496,8755,3957,14005
TROY CITY,Alabama,18599,2009,10505,6085,25454
TUSCALOOSA CITY,Alabama,124808,16147,51759,56902,138248
TUSCALOOSA COUNTY,Alabama,173718,14188,98583,60947,166941
TUSCUMBIA CITY,Alabama,14396,1239,8263,4894,15339
VESTAVIA HILLS CITY,Alabama,75659,1639,31620,42400,85908
WALKER COUNTY,Alabama,77743,9396,46488,21859,82179
WASHINGTON COUNTY,Alabama,31122,3645,18447,9030,30191
WILCOX COUNTY,Alabama,20039,3949,11886,4204,20152
WINFIELD CITY,Alabama,12326,1105,7566,3655,13184
WINSTON COUNTY,Alabama,26231,2687,15776,7768,28620
LOWER KUSKOKWIM SCHOOL DISTRICT,Alaska,155891,34414,118595,2882,173090
LOWER YUKON SCHOOL DISTRICT,Alaska,77429,19453,56961,1015,81245
YUPIIT SCHOOL DISTRICT,Alaska,13985,5285,8394,306,13431
KASHUNAMIUT SCHOOL DISTRICT,Alaska,9808,4536,4832,440,9877
ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,Alaska,9592,1948,6116,1528,9938
ALEUTIAN REGION SCHOOL DISTRICT,Alaska,1671,102,1528,41,1715
BERING STRAIT SCHOOL DISTRICT,Alaska,69157,23426,42802,2929,73324
BRISTOL BAY BOROUGH SCHOOL DISTRICT,Alaska,5996,332,3708,1956,6232
ALASKA GATEWAY SCHOOL DISTRICT,Alaska,11607,1264,10277,66,12547
CORDOVA CITY SCHOOL DISTRICT,Alaska,7045,520,4757,1768,7375
COPPER RIVER SCHOOL DISTRICT,Alaska,9330,958,8289,83,9222
CRAIG CITY SCHOOL DISTRICT,Alaska,8748,1845,6085,818,9239
DELTA-GREELY SCHOOL DISTRICT,Alaska,14536,1384,13032,120,15017
