name,state,revenue,federal_revenue,state_revenue,local_revenue,expenses
RESPONSIVE ED SOLUTIONS PREMIER HIGH SCHOOL OF LITTLE ROCK,Arkansas,1166,257,605,304,1110
RESPONSIVE ED SOLUTIONS NORTHWEST ARK CLASSICAL ACADEMY,Arkansas,3611,582,2628,401,3410
RESPONSIVE ED SOLUTIONS QUEST MIDDLE SCHOOL OF PINE BLUFF,Arkansas,1213,310,620,283,1162
ALMA SCHOOL DISTRICT,Arkansas,32030,2659,20497,8874,30126
ALPENA SCHOOL DISTRICT,Arkansas,5050,558,3348,1144,4559
ARKADELPHIA SCHOOL DISTRICT,Arkansas,21354,2160,10080,9114,20711
ARMOREL SCHOOL DISTRICT,Arkansas,5756,339,359,5058,5106
ASHDOWN SCHOOL DISTRICT,Arkansas,14525,1595,6032,6898,14280
ATKINS SCHOOL DISTRICT,Arkansas,10282,1124,6238,2920,11245
AUGUSTA SCHOOL DISTRICT,Arkansas,6698,1765,2888,2045,7157
BALD KNOB SCHOOL DISTRICT,Arkansas,14595,2625,6521,5449,14630
BARTON-LEXA SCHOOL DISTRICT,Arkansas,7771,718,5711,1342,7401
BAUXITE SCHOOL DISTRICT,Arkansas,14673,937,10175,3561,14222
BAY SCHOOL DISTRICT,Arkansas,5771,558,3533,1680,5656
BEEBE SCHOOL DISTRICT,Arkansas,31359,2928,19434,8997,30999
BENTON SCHOOL DISTRICT,Arkansas,46543,2954,25964,17625,45805
PEA RIDGE SCHOOL DISTRICT,Arkansas,16654,1176,10733,4745,18274
BENTONVILLE SCHOOL DISTRICT,Arkansas,158998,6708,70524,81766,164519
BERGMAN SCHOOL DISTRICT,Arkansas,9762,899,6892,1971,9406
BERRYVILLE SCHOOL DISTRICT,Arkansas,19049,1943,11338,5768,18007
BISMARCK SCHOOL DISTRICT,Arkansas,10769,1439,6061,3269,10007
BLEVINS SCHOOL DISTRICT,Arkansas,5321,670,3502,1149,5652
BLYTHEVILLE SCHOOL DISTRICT,Arkansas,28595,4876,17530,6189,27272
LEAD HILL SCHOOL DISTRICT,Arkansas,4105,445,2158,1502,3754
BOONEVILLE SCHOOL DISTRICT,Arkansas,13447,1655,8085,3707,13732
BRADFORD SCHOOL DISTRICT,Arkansas,5313,1009,3230,1074,5766
BRINKLEY SCHOOL DISTRICT,Arkansas,6638,1015,3250,2373,6381
BROOKLAND SCHOOL DISTRICT,Arkansas,18676,1131,12161,5384,18913
BRYANT SCHOOL DISTRICT,Arkansas,80657,5136,47775,27746,73383
BUFFALO IS. CENTRAL SCH. DIST.,Arkansas,7851,899,4656,2296,7587
CABOT SCHOOL DISTRICT,Arkansas,100163,6397,65190,28576,103955
CADDO HILLS SCHOOL DISTRICT,Arkansas,6015,1098,3726,1191,5892
CALICO ROCK SCHOOL DISTRICT,Arkansas,4273,590,2206,1477,4146
CARLISLE SCHOOL DISTRICT,Arkansas,7561,677,4008,2876,6961
WESTSIDE CONS. SCHOOL DISTRICT,Arkansas,16773,1511,10689,4573,20811
CAVE CITY SCHOOL DISTRICT,Arkansas,13450,1352,9133,2965,12778
CEDARVILLE SCHOOL DISTRICT,Arkansas,10464,1123,6594,2747,10909
GENOA CENTRAL SCHOOL DISTRICT,Arkansas,10352,749,6972,2631,9600
WHITE CO. CENTRAL SCHOOL DIST.,Arkansas,7483,1041,3208,3234,7132
CHARLESTON SCHOOL DISTRICT,Arkansas,8074,735,5061,2278,7602
CLARENDON SCHOOL DISTRICT,Arkansas,7050,1113,3941,1996,7272
RECTOR SCHOOL DISTRICT,Arkansas,5840,683,3319,1838,5288
CLARKSVILLE SCHOOL DISTRICT,Arkansas,24943,3097,15848,5998,26450
CLINTON SCHOOL DISTRICT,Arkansas,16064,1707,3933,10424,21018
CONCORD SCHOOL DISTRICT,Arkansas,5752,610,1940,3202,5800
CONWAY SCHOOL DISTRICT,Arkansas,101715,8238,46466,47011,101845
COTTER SCHOOL DISTRICT,Arkansas,6471,817,3662,1992,6468
COUNTY LINE SCHOOL DISTRICT,Arkansas,4618,610,2190,1818,4531
CROSSETT SCHOOL DISTRICT,Arkansas,19406,2089,7988,9329,17335
CUTTER-MORNING STAR SCH. DIST.,Arkansas,6242,761,3587,1894,5683
DANVILLE SCHOOL DISTRICT,Arkansas,9307,1327,6399,1581,9122
DARDANELLE SCHOOL DISTRICT,Arkansas,21117,1938,14950,4229,21734
DECATUR SCHOOL DISTRICT,Arkansas,6206,697,3491,2018,5834
DERMOTT SCHOOL DISTRICT,Arkansas,5914,1233,3233,1448,5557
DES ARC SCHOOL DISTRICT,Arkansas,5860,622,3714,1524,5648
DIERKS SCHOOL DISTRICT,Arkansas,5855,557,3328,1970,5403
DOLLARWAY SCHOOL DISTRICT,Arkansas,16643,2663,9834,4146,16270
DOVER SCHOOL DISTRICT,Arkansas,13562,1435,8363,3764,13486
DREW CENTRAL SCHOOL DISTRICT,Arkansas,10912,1731,6061,3120,9757
DUMAS SCHOOL DISTRICT,Arkansas,16024,2262,9711,4051,15351
EARLE SCHOOL DISTRICT,Arkansas,9169,1587,5565,2017,8941
EAST END SCHOOL DISTRICT,Arkansas,6745,668,4248,1829,7232
EL DORADO SCHOOL DISTRICT,Arkansas,43630,4954,23334,15342,40819
ELKINS SCHOOL DISTRICT,Arkansas,12709,701,8713,3295,13957
ENGLAND SCHOOL DISTRICT,Arkansas,8435,866,4649,2920,7952
EUREKA SPRINGS SCHOOL DISTRICT,Arkansas,9633,924,1028,7681,8354
CAMDEN FAIRVIEW SCHOOL DIST.,Arkansas,26870,3262,15750,7858,24419
FARMINGTON SCHOOL DISTRICT,Arkansas,21375,1362,12952,7061,25503
FAYETTEVILLE SCHOOL DISTRICT,Arkansas,119157,10529,36349,72279,118681
FLIPPIN SCHOOL DISTRICT,Arkansas,8760,970,4010,3780,8284
FORDYCE SCHOOL DISTRICT,Arkansas,10215,977,7368,1870,9954
FOREMAN SCHOOL DISTRICT,Arkansas,5498,578,3253,1667,5375
FORREST CITY SCHOOL DISTRICT,Arkansas,35097,6820,21537,6740,34226
FORT SMITH SCHOOL DISTRICT,Arkansas,152795,18912,79025,54858,161686
FOUKE SCHOOL DISTRICT,Arkansas,10561,1051,6636,2874,9968
FOUNTAIN LAKE SCHOOL DISTRICT,Arkansas,15585,1333,1377,12875,16375
GENTRY SCHOOL DISTRICT,Arkansas,15387,1304,6955,7128,18616
GLEN ROSE SCHOOL DISTRICT,Arkansas,9726,919,6194,2613,9412
CENTERPOINT SCHOOL DISTRICT,Arkansas,9481,1169,5880,2432,9303
GRAVETTE SCHOOL DISTRICT,Arkansas,18897,1602,6918,10377,18670
GREEN FOREST SCHOOL DISTRICT,Arkansas,12778,1529,8140,3109,12626
GREENBRIER SCHOOL DISTRICT,Arkansas,31116,2268,19413,9435,30362
GREENLAND SCHOOL DISTRICT,Arkansas,8797,1144,4047,3606,8778
GREENWOOD SCHOOL DISTRICT,Arkansas,34020,2261,18248,13511,33591
GURDON SCHOOL DISTRICT,Arkansas,8340,966,4726,2648,8204
GUY-PERKINS SCHOOL DISTRICT,Arkansas,4373,417,1808,2148,4544
HACKETT SCHOOL DISTRICT,Arkansas,6087,431,4094,1562,6246
HAMPTON SCHOOL DISTRICT,Arkansas,6311,750,2332,3229,6458
HARMONY GROVE SCHOOL DISTRICT,Arkansas,10043,929,6784,2330,10141
HARMONY GROVE SCHOOL DISTRICT,Arkansas,10565,735,6789,3041,11077
HARRISBURG SCHOOL DISTRICT,Arkansas,14681,1859,8958,3864,13586
HARRISON SCHOOL DISTRICT,Arkansas,27617,2779,12870,11968,26288
HARTFORD SCHOOL DISTRICT,Arkansas,3982,538,2173,1271,3599
HAZEN SCHOOL DISTRICT,Arkansas,7189,699,3770,2720,8521
HEBER SPRINGS SCHOOL DISTRICT,Arkansas,16813,1675,6720,8418,17289
HECTOR SCHOOL DISTRICT,Arkansas,7309,1110,4011,2188,7735
HELENA/ W.HELENA SCHOOL DIST.,Arkansas,20687,4747,11465,4475,22537
HERMITAGE SCHOOL DISTRICT,Arkansas,5410,730,3073,1607,5234
CROSS COUNTY SCHOOL DISTRICT,Arkansas,7922,1574,4011,2337,8023
HIGHLAND SCHOOL DISTRICT,Arkansas,14878,1989,7720,5169,14652
HOPE SCHOOL DISTRICT,Arkansas,26592,4200,15591,6801,29268
HORATIO SCHOOL DISTRICT,Arkansas,8566,869,6037,1660,8449
HOT SPRINGS SCHOOL DISTRICT,Arkansas,44680,6031,15842,22807,44989
JESSIEVILLE SCHOOL DISTRICT,Arkansas,10510,1434,3553,5523,9885
HOXIE SCHOOL DISTRICT,Arkansas,9214,1459,5950,1805,8714
HUGHES SCHOOL DISTRICT,Arkansas,5401,1549,1656,2196,4760
WEST MEMPHIS SCHOOL DISTRICT,Arkansas,54644,8561,36824,9259,53062
HUNTSVILLE SCHOOL DISTRICT,Arkansas,21943,2552,13026,6365,21401
JASPER SCHOOL DISTRICT,Arkansas,12071,1412,8039,2620,13438
JONESBORO SCHOOL DISTRICT,Arkansas,58193,7520,31181,19492,55637
JUNCTION CITY SCHOOL DISTRICT,Arkansas,6514,734,2720,3060,6366
RIVERVIEW SCHOOL DISTRICT,Arkansas,15723,2498,8997,4228,16851
KIRBY SCHOOL DISTRICT,Arkansas,3656,449,2036,1171,3462
LAKE HAMILTON SCHOOL DISTRICT,Arkansas,45529,3861,25286,16382,57368
LAKESIDE SCHOOL DISTRICT,Arkansas,14217,2830,6753,4634,13695
LAKESIDE SCHOOL DISTRICT,Arkansas,33008,2608,13752,16648,33184
LAMAR SCHOOL DISTRICT,Arkansas,11341,1026,7937,2378,10733
LAVACA SCHOOL DISTRICT,Arkansas,8928,837,5163,2928,8319
LINCOLN SCHOOL DISTRICT,Arkansas,14474,2721,8229,3524,12563
LITTLE ROCK SCHOOL DISTRICT,Arkansas,358480,32170,163916,162394,372346
LONOKE SCHOOL DISTRICT,Arkansas,19258,1943,11286,6029,20170
MAGAZINE SCHOOL DISTRICT,Arkansas,5913,781,3800,1332,5797
MAGNET COVE SCHOOL DIST.,Arkansas,6655,464,2793,3398,6416
MALVERN SCHOOL DISTRICT,Arkansas,23152,2831,12131,8190,21720
MAMMOTH SPRING SCHOOL DISTRICT,Arkansas,4678,472,2721,1485,4602
MANSFIELD SCHOOL DISTRICT,Arkansas,9039,1296,5056,2687,8821
LEE COUNTY SCHOOL DISTRICT,Arkansas,11044,1992,5776,3276,11233
MARION SCHOOL DISTRICT,Arkansas,41293,2572,22536,16185,39664
MARKED TREE SCHOOL DISTRICT,Arkansas,5929,958,3681,1290,5833
SEARCY COUNTY SCHOOL DISTRICT,Arkansas,10624,1455,6498,2671,9910
MARVELL SCHOOL DISTRICT,Arkansas,7718,2693,2972,2053,7655
MAYFLOWER SCHOOL DISTRICT,Arkansas,11031,1132,6913,2986,11580
MAYNARD SCHOOL DISTRICT,Arkansas,4370,492,2905,973,4445
MCCRORY SCHOOL DISTRICT,Arkansas,5911,681,3362,1868,6540
MCGEHEE SCHOOL DISTRICT,Arkansas,13203,1757,6450,4996,12609
MELBOURNE SCHOOL DISTRICT,Arkansas,9252,948,5235,3069,8588
MENA SCHOOL DISTRICT,Arkansas,18118,2416,10125,5577,17552
MINERAL SPRINGS SCHOOL DIST.,Arkansas,9054,891,1087,7076,5378
MONTICELLO SCHOOL DISTRICT,Arkansas,22689,2805,14124,5760,23027
MOUNT IDA SCHOOL DISTRICT,Arkansas,5041,847,1704,2490,5102
MT. VERNON/ENOLA SCHOOL DIST.,Arkansas,5165,467,2716,1982,4739
MOUNTAIN PINE SCHOOL DISTRICT,Arkansas,6089,662,3469,1958,6255
MOUNTAIN VIEW SCHOOL DISTRICT,Arkansas,16689,2093,9919,4677,16321
MOUNTAINBURG SCHOOL DISTRICT,Arkansas,7392,831,4878,1683,7223
MULBERRY SCHOOL DISTRICT,Arkansas,4372,658,1903,1811,3960
SOUTH PIKE COUNTY SCHOOL DISTRICT,Arkansas,7315,708,3902,2705,7247
NASHVILLE SCHOOL DISTRICT,Arkansas,18704,1928,11827,4949,20646
NEMO VISTA SCHOOL DISTRICT,Arkansas,6253,512,641,5100,6039
NETTLETON SCHOOL DISTRICT,Arkansas,35316,3849,13978,17489,44733
NORFORK SCHOOL DISTRICT,Arkansas,5036,656,2170,2210,4920
NORPHLET SCHOOL DISTRICT,Arkansas,4286,368,2005,1913,4332
N. LITTLE ROCK SCHOOL DISTRICT,Arkansas,107507,12231,57953,37323,156101
OMAHA SCHOOL DISTRICT,Arkansas,4794,593,2850,1351,4890
OSCEOLA SCHOOL DISTRICT,Arkansas,16136,2976,9252,3908,15728
OUACHITA SCHOOL DISTRICT,Arkansas,5992,991,3663,1338,6094
OZARK SCHOOL DISTRICT,Arkansas,17082,1719,10099,5264,16600
PANGBURN SCHOOL DISTRICT,Arkansas,9014,781,3296,4937,9117
PARIS SCHOOL DISTRICT,Arkansas,11466,1255,6793,3418,11503
PARKERS CHAPEL SCHOOL DIST.,Arkansas,6355,450,3771,2134,7207
PERRYVILLE SCHOOL DISTRICT,Arkansas,8793,897,5915,1981,8941
PIGGOTT SCHOOL DISTRICT,Arkansas,8457,847,5137,2473,7546
POCAHONTAS SCHOOL DISTRICT,Arkansas,16947,1914,10874,4159,15956
POTTSVILLE SCHOOL DISTRICT,Arkansas,15368,1063,10112,4193,14522
POYEN SCHOOL DISTRICT,Arkansas,5253,460,3884,909,4885
PRAIRIE GROVE SCHOOL DISTRICT,Arkansas,17343,1337,10585,5421,18029
PRESCOTT SCHOOL DISTRICT,Arkansas,10662,1256,7388,2018,10578
PULASKI CO. SPEC. SCHOOL DIST.,Arkansas,213273,18137,88665,106471,213641
QUITMAN SCHOOL DISTRICT,Arkansas,7340,709,693,5938,8029
ROGERS SCHOOL DISTRICT,Arkansas,159910,14087,69134,76689,149863
ROSE BUD SCHOOL DISTRICT,Arkansas,8712,821,3704,4187,8899
RUSSELLVILLE SCHOOL DISTRICT,Arkansas,59746,5261,18750,35735,59174
SALEM SCHOOL DISTRICT,Arkansas,7360,834,4835,1691,6962
SCRANTON SCHOOL DISTRICT,Arkansas,4079,415,2142,1522,3843
SEARCY SCHOOL DISTRICT,Arkansas,39819,3008,16069,20742,38546
SHIRLEY SCHOOL DISTRICT,Arkansas,5137,534,1275,3328,4776
SILOAM SPRINGS SCHOOL DISTRICT,Arkansas,41635,3159,22999,15477,40379
SLOAN-HENDRIX SCHOOL DIST.,Arkansas,6403,857,4031,1515,6479
SMACKOVER SCHOOL DISTRICT,Arkansas,9998,722,4383,4893,8313
SO. CONWAY CO. SCHOOL DISTRICT,Arkansas,22953,1923,12549,8481,20890
SOUTHSIDE SCHOOL DISTRICT,Arkansas,18239,1886,12900,3453,18548
SOUTH SIDE SCHOOL DISTRICT,Arkansas,10430,606,677,9147,8154
SPRING HILL SCHOOL DISTRICT,Arkansas,5149,468,3844,837,4942
SPRINGDALE SCHOOL DISTRICT,Arkansas,218566,27268,126149,65149,215004
STEPHENS SCHOOL DISTRICT,Arkansas,4774,845,2440,1489,5078
STRONG-HUTTIG SCHOOL DISTRICT,Arkansas,5293,822,2683,1788,4839
STUTTGART SCHOOL DISTRICT,Arkansas,17966,2032,9027,6907,17706
GREENE CO. TECH SCHOOL DIST.,Arkansas,34334,3162,20558,10614,34025
TEXARKANA SCHOOL DISTRICT,Arkansas,49274,7825,26544,14905,49657
JACKSON CO. SCHOOL DISTRICT,Arkansas,8142,856,5238,2048,8488
VALLEY SPRINGS SCHOOL DISTRICT,Arkansas,8592,751,5773,2068,8604
VALLEY VIEW SCHOOL DISTRICT,Arkansas,26891,1414,16191,9286,29786
VAN BUREN SCHOOL DISTRICT,Arkansas,58367,5832,34716,17819,56848
VILONIA SCHOOL DISTRICT,Arkansas,37340,2850,26133,8357,39837
VIOLA SCHOOL DISTRICT,Arkansas,4448,473,2276,1699,4337
WALDRON SCHOOL DISTRICT,Arkansas,16585,2924,10701,2960,17618
WATSON CHAPEL SCHOOL DISTRICT,Arkansas,29317,2805,22641,3871,30475
WEST FORK SCHOOL DISTRICT,Arkansas,10692,849,7333,2510,10869
WESTSIDE SCHOOL DISTRICT,Arkansas,7067,1183,4470,1414,6763
WEST SIDE SCHOOL DISTRICT,Arkansas,6694,891,498,5305,4681
WHITE HALL SCHOOL DISTRICT,Arkansas,27979,2124,14977,10878,27012
WONDERVIEW SCHOOL DISTRICT,Arkansas,5065,582,909,3574,5378
WOODLAWN SCHOOL DISTRICT,Arkansas,5659,448,3942,1269,5828
WYNNE SCHOOL DISTRICT,Arkansas,26341,2773,16300,7268,26200
YELLVILLE-SUMMIT SCHOOL DIST.,Arkansas,8108,1081,4481,2546,8282
ACTON-AGUA DULCE UNIFIED,California,19837,1058,12791,5988,19898
ROSS VALLEY ELEMENTARY,California,31172,629,11851,18692,30491
CUYAMA JOINT UNIFIED,California,3549,342,1774,1433,4988
FORT SAGE UNIFIED,California,3378,181,2764,433,3025
TWIN RIDGES ELEMENTARY,California,1692,247,448,997,1543
ROCKLIN UNIFIED,California,116132,4029,56338,55765,105580
HESPERIA UNIFIED,California,183007,18745,139750,24512,173565
LUCERNE VALLEY UNIFIED,California,12291,1042,6874,4375,10093
UPLAND UNIFIED,California,109823,7206,66409,36208,93660
APPLE VALLEY UNIFIED,California,120198,11642,79043,29513,117396
MOUNTAIN VALLEY UNIFIED,California,5240,802,2789,1649,5143
DUBLIN UNIFIED,California,92827,1672,34583,56572,126681
PLEASANTON UNIFIED,California,167437,7293,81563,78581,152603
SUNOL GLEN UNIFIED,California,3064,61,1280,1723,2768
MENDOTA UNIFIED,California,36071,4675,24797,6599,50848
MANHATTAN BEACH UNIFIED,California,78889,1330,23553,54006,87091
EL TEJON UNIFIED,California,9709,683,4165,4861,9331
LAKE ELSINORE UNIFIED,California,208572,19233,138401,50938,200222
TEMECULA VALLEY UNIFIED,California,256817,11192,156865,88760,238634
MURRIETA VALLEY UNIFIED,California,213930,10528,120213,83189,200210
BIG SUR UNIFIED,California,1410,54,816,540,1412
REDONDO BEACH UNIFIED,California,102551,5970,39182,57399,120500
DOS PALOS ORO LOMA JOINT UNIFIED,California,24648,3106,15860,5682,26258
WINDSOR UNIFIED,California,54912,3673,23890,27349,51208
FARMERSVILLE UNIFIED,California,30229,3150,24514,2565,30581
NATOMAS UNIFIED,California,120583,8664,75392,36527,115728
FERNDALE UNIFIED,California,4779,288,2628,1863,4553
MATTOLE UNIFIED,California,6482,115,5620,747,5231
DELHI UNIFIED,California,25820,2946,19422,3452,27802
RIVERDALE JOINT UNIFIED,California,16442,1734,9809,4899,15738
WARNER UNIFIED,California,3901,499,1801,1601,3724
SCOTTS VALLEY UNIFIED,California,21635,835,6799,14001,20739
HEALDSBURG UNIFIED,California,28163,1351,3478,23334,27422
ORLAND JOINT UNIFIED,California,20769,2138,12433,6198,19457
GONZALES UNIFIED,California,25804,2933,13141,9730,25606
TRACY JOINT UNIFIED,California,157123,10035,107108,39980,158988
PASO ROBLES JOINT UNIFIED,California,59486,4451,20299,34736,61164
COAST UNIFIED,California,13223,570,1510,11143,11576
GRIDLEY UNIFIED,California,19590,1561,12992,5037,20084
EUREKA CITY SCHOOLS,California,40345,4193,19157,16995,41141
HUGHSON UNIFIED,California,22294,1407,13849,7038,21397
RIVERBANK UNIFIED,California,32361,3117,20725,8519,29451
OAKDALE JOINT UNIFIED,California,50389,3044,29090,18255,47196
WATERFORD UNIFIED,California,21746,2065,12822,6859,21754
PORTERVILLE UNIFIED,California,147583,18597,102614,26372,142925
DINUBA UNIFIED,California,69953,7371,54672,7910,63836
CARUTHERS UNIFIED,California,16223,1895,10328,4000,17159
GOLDEN VALLEY UNIFIED,California,19427,664,11574,7189,19784
VALLEY CENTER-PAUMA UNIFIED,California,42557,4541,17785,20231,40488
CONTRA COSTA COUNTY ROP,California,46606,13575,33011,20,46516
CHAWANAKEE UNIFIED,California,12013,674,6543,4796,11741
MARIN COUNTY ROP,California,2540,0,999,1541,2539
SBE - NEW WEST CHARTER,California,5374,72,3840,1462,5978
SAN JOAQUIN COUNTY ROP,California,2068,0,0,2068,2291
TULARE COUNTY ORGANIZATION FOR VOCATIONAL EDUCATION,California,468,0,125,343,333
VENTURA COUNTY ROP,California,1021,0,0,1021,1107
ALHAMBRA UNIFIED,California,254641,31730,170790,52121,254768
TURLOCK UNIFIED,California,136515,10881,85615,40019,133679
SCOTT VALLEY UNIFIED,California,8754,761,4619,3374,8276
YOSEMITE UNIFIED,California,19877,856,10730,8291,19753
ARENA UNION ELEMENTARY/POINT ARENA JOINT UNION HIGH,California,8683,531,1364,6788,7589
SANTA CRUZ CITY ELEMENTARY/HIGH,California,77357,4545,17343,55469,74324
PETALUMA CITY ELEMENTARY/JOINT UNION HIGH,California,78647,4099,30914,43634,75330
SANTA ROSA ELEMENTARY-HIGH  CITY OF,California,165840,11265,54737,99838,152153
MODESTO CITY SCHOOLS,California,297294,31677,200346,65271,290800
TRINITY ALPS UNIFIED,California,8676,1237,3950,3489,8978
TWIN RIVERS UNIFIED,California,345713,41415,236060,68238,339526
SBE - WESTERN SIERRA COLLEGIATE ACADEMY,California,4268,101,3260,907,5620
SBE - RIVER MONTESSORI ELEMENTARY CHARTER,California,680,0,405,275,1230
HAMILTON UNIFIED,California,7426,843,4995,1588,7553
NORTH COUNTY REGIONAL OCCUPATIONAL CENTER/PROGRAM (ROC/P),California,2658,0,0,2658,2658
TRI-CITIES ROP,California,3856,21,153,3682,3796
CAPISTRANO-LAGUNA BEACH ROP JPA,California,3747,0,3,3744,3488
CENTER FOR ADVANCED RESEARCH & TECH (CART) JPA,California,2136,0,0,2136,2200
CENTRAL CALIFORNIA SCHOOL FINANCE AUTHORITY JPA,California,263,0,0,263,263
EAST SAN GABRIEL VALLEY ROP,California,10346,2641,144,7561,12179
COASTLINE ROP JPA,California,9055,0,0,9055,9009
NORTH SANTA CRUZ COUNTY SELPA,California,355,0,0,355,262
SANTA LUCIA ROP,California,1780,0,15,1765,1967
SANTA CLARITA VLLY SCH FOOD SVS AGENCY JPA,California,8799,5004,385,3410,9022
CENTRAL VALLEY SUPPORT SERVICES JPA,California,8716,1666,0,7050,4747
ANTELOPE VALLEY SCHOOLS TRANSPORTATION AGENCY,California,10647,0,3419,7228,11916
NORTH ORANGE COUNTY ROP JPA,California,22989,609,619,21761,23107
SOUTH COUNTY SUPPORT SERVICES AGENCY,California,3315,0,0,3315,3029
NORTHERN CALIF. MEDI-CAL ADMIN. SERVICES JPA,California,1474,0,0,1474,1721
PUPIL TRANSPORTATION CO-OP JPA,California,12423,56,0,12367,12066
COLTON-REDLANDS-YUCAIPA ROP JPA,California,9790,1230,994,7566,9004
CENTRAL CALIF MIGRANT HEAD START JPA,California,22642,22582,0,60,22643
PARTNERS IN NUTRITION COOPERATIVE,California,16173,0,0,16173,16374
CENTRAL VALLEY PRE-SCHOOL JPA,California,366,0,345,21,370
EDEN AREA ROP JPA,California,7804,151,367,7286,8062
EAST VALLEY SCHOOL TRANSPORTATION JPA,California,2392,0,1345,1047,2392
BALDY VIEW ROP JPA,California,8428,0,133,8295,7659
WEST COUNTY TRANSPORTATION JPA,California,10030,0,3163,6867,9547
KINGS SCHOOLS TRANSPORTATION AUTHORITY JPA,California,1293,0,395,898,1364
MISSION TRAILS ROP JPA,California,8486,0,8486,0,8486
SOUTHERN CALIFORNIA ROP,California,9564,70,7810,1684,9454
VALLEY ROP JPA,California,2459,0,32,2427,2494
TRI-VALLEY ROP JPA,California,4561,140,0,4421,3625
WEST VALLEY SCHOOLS TRANSPORTATION AGENCY JPA,California,3406,0,1344,2062,3405
WEST SIDE ROP JPA,California,936,109,0,827,1034
SISKIYOU REGIONAL OCCUPATIONAL PROGRAM JOINT POWERS AUTHORIT,California,711,0,0,711,709
LA PUENTE VALLEY ROP,California,4062,0,12,4050,4906
SOUTHWEST TRANSPORTATION AGENCY,California,4845,0,1079,3766,4779
NORTH KERN VOCATIONAL TRAINING CENTER JPA,California,1248,0,0,1248,1287
MISSION VALLEY ROC/P,California,7264,0,9,7255,6876
METROPOLITAN EDUCATION,California,19239,531,13119,5589,19105
SOUTHEAST ROP,California,4656,6,0,4650,4783
CENTRAL SIERRA ROP JPA,California,2244,0,33,2211,2154
MID-PLACER TRANSPORTATION JPA,California,2274,0,1993,281,2591
SHASTA-TRINITY ROP JPA,California,1847,0,20,1827,2138
SANTA BARBARA COUNTY SELPA JPA,California,6316,754,5055,507,6975
IMPERIAL VALLEY ROP JPA,California,9521,2479,1446,5596,9074
SBE - TODAY'S FRESH START CHARTER,California,7317,286,7031,0,7143
BISHOP UNIFIED,California,19619,1927,6433,11259,20281
LAMMERSVILLE JOINT UNIFIED,California,68677,890,11788,55999,118905
SANTA BARBARA UNIFIED,California,153569,12378,22161,119030,159365
WASHINGTON UNIFIED,California,31041,3211,22274,5556,42320
GREATER ANAHEIM SELPA JPA,California,2830,696,2128,6,3142
WOODLAKE UNIFIED,California,24711,3263,16650,4798,23019
FORTUNA ELEMENTARY,California,13104,1794,7569,3741,12673
INYO COUNTY CAREER TECHNICAL EDUCATION,California,616,0,0,616,617
ABC UNIFIED,California,201909,16849,148269,36791,202569
ACALANES UNION HIGH,California,75290,1187,9935,64168,80771
ACKERMAN CHARTER,California,4230,209,2701,1320,4678
ADELANTO ELEMENTARY,California,84685,8529,64436,11720,99930
ALAMEDA UNIFIED,California,107234,6945,51931,48358,108684
ALBANY CITY UNIFIED,California,61653,5925,35539,20189,60098
ALEXANDER VALLEY UNION ELEMENTARY,California,2132,81,538,1513,1745
ALISAL UNION,California,92996,11397,59854,21745,85032
ALLENSWORTH ELEMENTARY,California,1144,198,843,103,1101
ALPAUGH UNIFIED,California,18513,503,17661,349,9567
ALPINE COUNTY UNIFIED,California,3067,505,783,1779,2963
ALPINE UNION ELEMENTARY,California,17449,1069,9259,7121,15698
ALTA LOMA ELEMENTARY,California,53303,2482,34339,16482,48799
ALTA VISTA ELEMENTARY,California,5377,858,4317,202,5251
ALTA-DUTCH FLAT UNION ELEMENTARY,California,974,74,462,438,1023
ALUM ROCK UNION ELEMENTARY,California,169426,14854,81888,72684,133233
ALVIEW-DAIRYLAND UNION ELEMENTARY,California,3313,395,2110,808,3364
ALVINA ELEMENTARY,California,1664,139,1285,240,1621
ALVORD UNIFIED,California,186856,17548,127216,42092,180112
AMADOR COUNTY UNIFIED,California,33143,1785,7694,23664,31002
ANAHEIM CITY,California,201729,15939,105871,79919,211604
ANAHEIM UNION HIGH,California,341395,35315,223778,82302,332112
WEST SONOMA COUNTY UNION HIGH,California,23907,1169,8430,14308,23979
ANDERSON UNION HIGH,California,21520,1372,12149,7999,23587
ANDERSON VALLEY UNIFIED,California,9054,1072,4844,3138,8654
ANTELOPE ELEMENTARY,California,8050,621,4566,2863,8715
ANTELOPE VALLEY UNION HIGH,California,243714,20213,182192,41309,250157
ANTIOCH UNIFIED,California,161407,14712,103815,42880,185540
ARCADIA UNIFIED,California,102513,3822,38035,60656,137533
ARCATA ELEMENTARY,California,10794,1508,5872,3414,12569
NORTHERN HUMBOLDT UNION HIGH,California,20190,1838,9276,9076,21708
ARCOHE UNION ELEMENTARY,California,3738,319,2285,1134,3364
ARMONA UNION ELEMENTARY,California,11420,996,8172,2252,9841
ARVIN UNION,California,34927,5407,22118,7402,34166
ATASCADERO UNIFIED,California,42679,2927,15883,23869,52448
ATWATER ELEMENTARY,California,43357,5639,33637,4081,41251
AUBURN UNION ELEMENTARY,California,21696,2038,7642,12016,21133
AZUSA UNIFIED,California,102726,12423,70514,19789,101637
BAKER VALLEY UNIFIED,California,4344,122,501,3721,2850
BAKERSFIELD CITY,California,293477,42855,223532,27090,322662
BALDWIN PARK UNIFIED,California,193820,17680,135373,40767,177357
BALLARD ELEMENTARY,California,1994,13,481,1500,2384
